uf60,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,name_bairro_1960,tipo,zona_cod,zona,pagina,fonte
21,2139,São Vicente Ferrer,01,São Vicente Ferrer,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2140,Sirinhaém,01,Sirinhaém,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2140,Sirinhaém,03,Barra do Sirínha6m,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2140,Sirinhaém,05,Iditalíiada,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2140,Sirinhaém,07,Ferreiros,,distrito,,Zona do Litoral,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2140,Sirinhaém,09,Ibiranga,,distrito,,Zona do Litoral,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2141,També,01,També,,distrito,214,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
21,2142,Timbaúba,01,Timbaúba,,distrito,,Zona do Litoral,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2142,Timbaúba,05,Livramento do Tiumma,,distrito,,Zona do Litoral,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2143,Vicência,01,Vicência,,distrito,,Zona do Litoral,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2143,Vicência,03,Hurupé,,distrito,,Zona do Litoral,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2144,Vitória de Santo Antão,01,Vitória de Santo Antão,,distrito,,Zona do Litoral,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2150,Agrestina,01,Agrestina,,distrito,218,Zona do Ágreste,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2150,Agrestina,05,Barra do Jardim,,distrito,218,Zona do Ágreste,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2151,Alagoinha,01,Alagoinha,,distrito,218,Zona do Ágreste,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2152,Altinho,01,Altinho,,distrito,215,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
21,2152,Altinho,03,Ibirajuba,,distrito,218,Zona do Ágreste,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2153,Angelim,01,Angelim,,distrito,218,Zona do Ágreste,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2154,Belo Jardim,01,Belo Jardim,,distrito,218,Zona do Ágreste,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2154,Belo Jardim,03,Água Fria Aee,,distrito,218,Zona do Ágreste,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2154,Belo Jardim,05,Serra do Vento,,distrito,218,Zona do Ágreste,70,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
